iter	F1	Logloss
0	0.9215493569	0.6416135141
1	0.928817242	0.5976555474
2	0.9407760223	0.5635398487
3	0.9412090604	0.5313143714
4	0.9435647916	0.5091333529
5	0.9416239226	0.4818907741
6	0.9341284006	0.4562759085
7	0.9362128554	0.4330699261
8	0.9394155406	0.4095693292
9	0.9390370177	0.3911911674
10	0.9382808864	0.3748459713
11	0.9381435387	0.3583972873
12	0.9384526274	0.3463436096
13	0.9391058174	0.3326553701
14	0.9403459373	0.3217130251
15	0.9406909965	0.3096042983
16	0.9402079845	0.300470798
17	0.9405529424	0.2889861966
18	0.9402079845	0.2815538296
19	0.9419699205	0.2725292732
20	0.9436342564	0.2635213642
21	0.9442251199	0.2587012032
22	0.9443294667	0.2525437104
23	0.9449560325	0.2459860261
24	0.9443642541	0.2427744552
25	0.9457229651	0.2372243632
26	0.9460021584	0.2326632449
27	0.9469106763	0.2266582068
28	0.9470855914	0.2242227669
29	0.9478209409	0.2194083061
30	0.9475056514	0.2162139434
31	0.9483118087	0.2104874399
32	0.9480312506	0.2072918978
33	0.949295071	0.2028147157
34	0.949295071	0.2006865866
35	0.9495763778	0.1986829401
36	0.9497170937	0.1952524842
37	0.9498226579	0.1920716067
38	0.9497874672	0.1898665193
39	0.9502099279	0.1879265387
40	0.9507385324	0.1848251435
41	0.9508443239	0.1838895081
42	0.9508443239	0.1820160653
43	0.9513736348	0.1793070407
44	0.9515855242	0.1774061329
45	0.9525755905	0.1738667346
46	0.9525401955	0.17171006
47	0.9533194933	0.1694873924
48	0.9534967844	0.1672272929
49	0.9536031906	0.1653191746
50	0.9536741413	0.1637845883
51	0.9539225519	0.1616820755
52	0.9544197616	0.1597730211
53	0.9543842294	0.1587666267
54	0.9547041142	0.1561625891
55	0.9550953758	0.1545352992
56	0.9555225725	0.1520817184
57	0.9554157375	0.1513511479
58	0.9556650564	0.1497776202
59	0.9559501516	0.1487635179
60	0.9558788619	0.1477726709
61	0.956235417	0.1467108873
62	0.9567707487	0.1444439763
63	0.9568421716	0.1433684629
64	0.9570207753	0.1420194367
65	0.9569850493	0.1416913937
66	0.9571279696	0.1403814345
67	0.9574496966	0.1394140514
68	0.9576285273	0.1374832719
69	0.9578074248	0.1366197597
70	0.9582370516	0.1348430136
71	0.9584520096	0.1332403173
72	0.958631215	0.1314964574
73	0.9585236837	0.1309120329
74	0.9584878453	0.1300983141
75	0.9587387703	0.1293348758
76	0.9591333466	0.1276851471
77	0.9596000829	0.1262930936
78	0.9600313198	0.1244798088
79	0.9599234743	0.1238281834
80	0.9601751516	0.1230132528
81	0.9600672737	0.1224613489
82	0.9602830537	0.1216407008
83	0.9606789024	0.1204877255
84	0.9610390482	0.1194316433
85	0.9611831821	0.1178303151
86	0.9611831821	0.1172084705
87	0.96441731	0.1161803067
88	0.9647419645	0.1156990588
89	0.9650307298	0.114838234
90	0.9651029482	0.1142389933
91	0.9653919297	0.1130775935
